Jurisdiction,Overseas,Locally acquired - contact of confirmed case,Locally acquired - unknown contact,Locally acquired - interstate travel,Under investigation,Total cases,Total deaths,Date
WA,996,93,14,9,0,1112,9,2021-10-27
SA,690,179,9,40,0,918,4,2021-10-27
ACT,96,1356,251,38,0,1741,11,2021-10-27
Australia,8502,80289,45030,248,29700,163769,1669,2021-10-27
VIC,1233,49063,4047,0,30599,84942,1090,2021-10-28
WA,996,93,14,9,0,1112,9,2021-10-28
TAS,85,141,5,6,0,237,13,2021-10-28
SA,690,179,9,40,0,918,4,2021-10-28
QLD,1525,480,47,35,0,2087,7,2021-10-28
NT,204,11,0,10,0,225,0,2021-10-28
ACT,96,1364,251,38,0,1749,11,2021-10-28
Australia,8503,81756,44798,248,30599,165904,1696,2021-10-28
NSW,3674,30425,40425,110,0,74634,562,2021-10-28
SA,690,179,9,40,0,918,4,2021-10-29
WA,996,93,14,9,0,1112,9,2021-10-29
Australia,8507,83166,44461,248,31408,167790,1708,2021-10-29
VIC,1234,49860,4061,0,31408,86563,1100,2021-10-29
QLD,1527,480,47,35,0,2089,7,2021-10-29
NT,204,11,0,10,0,225,0,2021-10-29
NSW,3675,31032,40070,110,0,74887,564,2021-10-29
TAS,85,141,5,6,0,237,13,2021-10-29
ACT,96,1370,255,38,0,1759,11,2021-10-29
VIC,1234,50829,4074,0,31757,87894,1111,2021-10-30
WA,996,93,14,9,0,1112,9,2021-10-30
SA,690,179,9,40,0,918,4,2021-10-30
QLD,1527,480,47,35,0,2089,7,2021-10-30
NT,204,11,0,10,0,225,0,2021-10-30
NSW,3676,31431,39895,110,0,75112,567,2021-10-30
ACT,96,1375,255,42,0,1768,11,2021-10-30
TAS,85,141,5,6,0,237,13,2021-10-30
Australia,8508,84539,44299,252,31757,169355,1722,2021-10-30
Australia,8509,85428,44028,252,32241,170458,1734,2021-10-31
VIC,1234,51257,4092,0,32241,88824,1122,2021-10-31
ACT,96,1382,255,42,0,1775,11,2021-10-31
SA,690,179,9,40,0,918,4,2021-10-31
NT,204,11,0,10,0,225,0,2021-10-31
QLD,1527,480,47,35,0,2089,7,2021-10-31
TAS,85,141,5,6,0,237,13,2021-10-31
NSW,3677,31885,39606,110,0,75278,568,2021-10-31
WA,996,93,14,9,0,1112,9,2021-10-31
QLD,1528,480,47,35,0,2090,7,2021-11-01
ACT,96,1386,256,42,0,1780,13,2021-11-01
NSW,3676,32490,39130,111,0,75407,572,2021-11-01
NT,204,11,0,10,0,225,0,2021-11-01
SA,690,179,9,40,0,918,4,2021-11-01
TAS,85,141,5,6,0,237,13,2021-11-01
VIC,1234,51317,4096,0,33614,90261,1125,2021-11-01
WA,996,93,14,9,0,1112,9,2021-11-01
Australia,8509,86097,43557,253,33614,172030,1743,2021-11-01
VIC,1234,52609,4110,0,33264,91217,1134,2021-11-02
WA,996,93,14,9,0,1112,9,2021-11-02
TAS,85,141,5,6,0,237,13,2021-11-02
ACT,96,1394,256,42,0,1788,13,2021-11-02
QLD,1528,480,47,35,0,2090,7,2021-11-02
NT,204,11,0,10,0,225,0,2021-11-02
NSW,3676,33091,38698,113,0,75578,576,2021-11-02
Australia,8509,87998,43139,255,33264,173165,1756,2021-11-02
SA,690,179,9,40,0,918,4,2021-11-02
WA,996,93,14,9,0,1112,9,2021-11-03
VIC,1234,53225,4112,0,33555,92126,1142,2021-11-03
TAS,85,141,5,6,0,237,13,2021-11-03
SA,690,179,9,40,0,918,4,2021-11-03
QLD,1527,480,47,35,0,2089,7,2021-11-03
NT,204,11,0,10,0,225,0,2021-11-03
NSW,3676,33636,38339,114,0,75765,580,2021-11-03
ACT,96,1407,258,42,0,1803,13,2021-11-03
Australia,8508,89172,42784,256,33555,174275,1768,2021-11-03
Australia,8510,90602,42369,259,34073,175813,1781,2021-11-04
WA,996,93,14,9,0,1112,9,2021-11-04
VIC,1234,53907,4127,0,34071,93339,1151,2021-11-04
TAS,85,141,5,6,0,237,13,2021-11-04
SA,690,179,9,40,0,918,4,2021-11-04
QLD,1527,481,47,36,1,2092,7,2021-11-04
NT,205,11,0,10,0,226,0,2021-11-04
NSW,3677,34370,37910,116,0,76073,584,2021-11-04
ACT,96,1420,257,42,1,1816,13,2021-11-04
VIC,1234,54528,4133,0,34774,94669,1161,2021-11-05
Australia,8513,91838,42006,260,34776,177393,1795,2021-11-05
ACT,97,1424,258,42,1,1822,14,2021-11-05
NSW,3677,34981,37539,117,0,76314,587,2021-11-05
WA,996,93,14,9,0,1112,9,2021-11-05
TAS,85,141,5,6,0,237,13,2021-11-05
QLD,1529,481,47,36,1,2094,7,2021-11-05
SA,690,179,9,40,0,918,4,2021-11-05
NT,205,11,1,10,0,227,0,2021-11-05
ACT,97,1436,264,43,0,1840,14,2021-11-06
NSW,3678,35541,37243,118,0,76580,590,2021-11-06
NT,205,12,1,10,1,229,0,2021-11-06
QLD,1529,482,47,37,0,2095,7,2021-11-06
SA,690,179,9,40,0,918,4,2021-11-06
TAS,85,141,5,6,0,237,13,2021-11-06
VIC,1234,55147,4148,0,35388,95917,1168,2021-11-06
WA,996,93,14,9,0,1112,9,2021-11-06
Australia,8514,93031,41731,263,35389,178928,1805,2021-11-06
Australia,8517,94154,41518,266,35852,180307,1815,2021-11-07
ACT,97,1448,265,43,0,1853,14,2021-11-07
NSW,3679,35999,37019,120,0,76817,591,2021-11-07
SA,690,179,9,40,0,918,4,2021-11-07
NT,205,12,2,10,0,229,0,2021-11-07
QLD,1531,482,47,38,0,2098,7,2021-11-07
WA,996,93,14,9,0,1112,9,2021-11-07
TAS,85,141,5,6,0,237,13,2021-11-07
VIC,1234,55800,4157,0,35852,97043,1177,2021-11-07
SA,690,179,9,40,0,918,4,2021-11-08
Australia,8518,95383,41194,267,36216,181578,1827,2021-11-08
ACT,97,1460,265,44,0,1866,14,2021-11-08
WA,996,93,14,9,0,1112,9,2021-11-08
VIC,1234,56499,4181,0,36216,98130,1182,2021-11-08
TAS,85,141,5,6,0,237,13,2021-11-08
QLD,1531,482,47,38,0,2098,7,2021-11-08
NT,205,12,2,10,0,229,0,2021-11-08
NSW,3680,36517,36671,120,0,76988,598,2021-11-08
WA,996,93,14,9,0,1112,9,2021-11-09
VIC,1234,57056,4205,0,36688,99183,1192,2021-11-09
Australia,8522,96560,40829,271,36688,182870,1841,2021-11-09
ACT,98,1476,264,46,0,1884,14,2021-11-09
NSW,3682,37119,36285,121,0,77207,602,2021-11-09
NT,205,14,0,11,0,230,0,2021-11-09
SA,690,179,9,40,0,918,4,2021-11-09
TAS,85,141,5,6,0,237,13,2021-11-09
QLD,1532,482,47,38,0,2099,7,2021-11-09
WA,996,93,14,9,0,1112,9,2021-11-10
ACT,98,1483,265,47,0,1893,14,2021-11-10
NSW,3685,37692,35918,122,0,77417,605,2021-11-10
NT,205,14,0,12,0,231,0,2021-11-10
QLD,1532,483,48,39,0,2102,7,2021-11-10
SA,690,179,9,40,0,918,4,2021-11-10
Australia,8525,97601,40493,275,37178,184072,1858,2021-11-10
VIC,1234,57516,4234,0,37178,100162,1206,2021-11-10
TAS,85,141,5,6,0,237,13,2021-11-10
VIC,1234,57573,4283,0,38361,101451,1209,2021-11-11
TAS,85,141,5,6,0,237,13,2021-11-11
SA,690,179,9,40,0,918,4,2021-11-11
QLD,1533,484,49,39,0,2105,7,2021-11-11
NT,205,14,0,12,0,231,0,2021-11-11
NSW,3688,38180,35680,123,0,77671,606,2021-11-11
Australia,8529,98165,40293,279,38361,185627,1862,2021-11-11
WA,996,93,14,9,0,1112,9,2021-11-11
ACT,98,1501,253,50,0,1902,14,2021-11-11
WA,996,93,14,9,0,1112,9,2021-11-12
VIC,1234,58579,4317,0,38422,102552,1218,2021-11-12
TAS,85,141,5,6,0,237,13,2021-11-12
SA,691,179,9,40,0,919,4,2021-11-12
QLD,1535,486,49,39,0,2109,7,2021-11-12
NT,205,14,0,12,0,231,0,2021-11-12
NSW,3688,38815,35324,124,0,77951,608,2021-11-12
Australia,8532,99817,39976,281,38422,187028,1873,2021-11-12
ACT,98,1510,258,51,0,1917,14,2021-11-12
VIC,1234,59073,4334,0,39119,103760,1222,2021-11-13
WA,996,93,14,9,0,1112,9,2021-11-13
Australia,8535,100995,39563,282,39119,188494,1877,2021-11-13
ACT,98,1516,263,51,0,1928,14,2021-11-13
SA,692,179,9,40,0,920,4,2021-11-13
NT,205,14,0,12,0,231,0,2021-11-13
QLD,1532,486,49,39,0,2106,7,2021-11-13
TAS,85,141,5,6,0,237,13,2021-11-13
NSW,3693,39493,34889,125,0,78200,608,2021-11-13
VIC,1235,59124,4341,0,39946,104646,1226,2021-11-14
ACT,98,1525,269,51,0,1943,14,2021-11-14
WA,996,93,14,9,0,1112,9,2021-11-14
TAS,85,141,5,6,0,237,13,2021-11-14
Australia,8536,101607,39214,285,39946,189588,1882,2021-11-14
QLD,1532,486,49,39,0,2106,7,2021-11-14
SA,692,179,9,40,0,920,4,2021-11-14
NSW,3693,40045,34527,128,0,78393,609,2021-11-14
NT,205,14,0,12,0,231,0,2021-11-14
NSW,3694,40634,34101,127,0,78556,610,2021-11-15
ACT,98,1532,272,51,0,1953,14,2021-11-15
Australia,8541,103036,38801,285,39941,190604,1888,2021-11-15
NT,205,14,0,12,0,231,0,2021-11-15
QLD,1535,486,49,39,0,2109,7,2021-11-15
SA,692,179,9,40,0,920,4,2021-11-15
TAS,85,141,5,7,0,238,13,2021-11-15
VIC,1235,59957,4351,0,39941,105484,1231,2021-11-15
WA,997,93,14,9,0,1113,9,2021-11-15
NT,207,17,0,12,0,236,0,2021-11-16
ACT,98,1542,274,51,0,1965,14,2021-11-16
Australia,8549,104059,38399,286,40321,191614,1898,2021-11-16
QLD,1536,486,49,39,0,2110,7,2021-11-16
NSW,3696,41188,33677,127,78,78766,612,2021-11-16
TAS,85,141,5,7,0,238,13,2021-11-16
VIC,1235,60413,4371,0,40243,106262,1239,2021-11-16
WA,1000,93,14,9,0,1116,9,2021-11-16
SA,692,179,9,41,0,921,4,2021-11-16
VIC,1235,61033,4388,0,40589,107245,1248,2021-11-17
TAS,85,141,5,7,0,238,13,2021-11-17
Australia,8553,105279,38033,301,40674,192840,1907,2021-11-17
ACT,98,1550,272,51,0,1971,14,2021-11-17
SA,692,179,9,41,0,921,4,2021-11-17
WA,1000,93,14,9,0,1116,9,2021-11-17
QLD,1537,486,49,38,0,2110,7,2021-11-17
NT,206,27,0,12,0,245,0,2021-11-17
NSW,3700,41770,33296,143,85,78994,612,2021-11-17
SA,692,179,9,41,0,921,4,2021-11-18
VIC,1236,61472,4431,0,41092,108231,1260,2021-11-18
QLD,1538,486,49,38,0,2111,7,2021-11-18
ACT,98,1564,280,54,0,1996,14,2021-11-18
Australia,8557,106304,37721,308,41229,194119,1922,2021-11-18
NT,206,33,0,12,0,251,0,2021-11-18
NSW,3701,42336,32933,147,137,79254,615,2021-11-18
WA,1001,93,14,9,0,1117,9,2021-11-18
TAS,85,141,5,7,0,238,13,2021-11-18
VIC,1235,62048,4469,0,41743,109495,1268,2021-11-19
TAS,85,141,5,7,0,238,13,2021-11-19
SA,693,179,9,41,0,922,4,2021-11-19
QLD,1539,486,49,38,0,2112,7,2021-11-19
NT,206,34,0,12,0,252,0,2021-11-19
NSW,3702,42930,32594,150,92,79468,618,2021-11-19
ACT,98,1577,284,54,0,2013,14,2021-11-19
Australia,8560,107488,37424,311,41835,195618,1933,2021-11-19
WA,1002,93,14,9,0,1118,9,2021-11-19
ACT,98,1589,285,54,0,2026,14,2021-11-20
QLD,1539,486,49,38,0,2112,7,2021-11-20
SA,693,179,9,41,0,922,4,2021-11-20
WA,1003,93,14,9,0,1119,9,2021-11-20
VIC,1235,62589,4502,0,42336,110662,1273,2021-11-20
NSW,3705,43472,32226,160,83,79646,618,2021-11-20
Australia,8564,108584,37090,321,42419,196978,1938,2021-11-20
TAS,85,141,5,7,0,238,13,2021-11-20
NT,206,35,0,12,0,253,0,2021-11-20
VIC,1235,63168,4519,0,43004,111926,1277,2021-11-21
QLD,1539,486,49,38,0,2112,7,2021-11-21
SA,693,179,9,41,0,922,4,2021-11-21
NT,207,43,0,12,2,264,0,2021-11-21
NSW,3706,44008,31853,166,88,79821,618,2021-11-21
ACT,98,1603,287,54,0,2042,14,2021-11-21
Australia,8567,109721,36736,327,43094,198445,1942,2021-11-21
TAS,85,141,5,7,0,238,13,2021-11-21
WA,1004,93,14,9,0,1120,9,2021-11-21
WA,1005,93,14,9,0,1121,9,2021-11-22
TAS,85,141,5,8,0,239,13,2021-11-22
SA,693,179,9,41,0,922,4,2021-11-22
VIC,1235,63761,4554,0,43392,112942,1280,2021-11-22
Australia,8573,110686,36581,332,43479,199651,1948,2021-11-22
ACT,98,1609,290,56,0,2053,14,2021-11-22
NSW,3710,44372,31660,168,87,79997,621,2021-11-22
NT,208,45,0,12,0,265,0,2021-11-22
QLD,1539,486,49,38,0,2112,7,2021-11-22
WA,1005,93,14,9,0,1121,9,2021-11-23
VIC,1235,64246,4581,0,43693,113755,1298,2021-11-23
Australia,8578,111453,36516,335,43772,200654,1968,2021-11-23
TAS,85,141,5,8,0,239,13,2021-11-23
SA,693,179,9,41,0,922,4,2021-11-23
QLD,1540,486,49,38,0,2113,7,2021-11-23
NT,207,50,0,12,0,269,0,2021-11-23
ACT,98,1625,294,55,0,2072,14,2021-11-23
NSW,3715,44633,31564,172,79,80163,623,2021-11-23
VIC,1236,64740,4610,0,44357,114943,1301,2021-11-24
TAS,85,141,5,8,0,239,13,2021-11-24
SA,693,179,9,41,0,922,4,2021-11-24
QLD,1542,486,49,38,0,2115,7,2021-11-24
NT,207,53,0,12,0,272,0,2021-11-24
WA,1005,93,14,9,0,1121,9,2021-11-24
NSW,3719,44798,31580,179,132,80408,625,2021-11-24
ACT,98,1634,295,60,0,2087,14,2021-11-24
Australia,8585,112124,36562,347,44489,202107,1973,2021-11-24
NT,207,62,0,12,0,281,0,2021-11-25
VIC,1236,65287,4638,0,45028,116189,1306,2021-11-25
QLD,1541,486,49,41,0,2117,7,2021-11-25
WA,1006,93,14,9,0,1122,9,2021-11-25
TAS,85,141,5,8,0,239,13,2021-11-25
SA,693,179,9,45,0,926,4,2021-11-25
Australia,8594,112939,36597,361,45159,203650,1978,2021-11-25
ACT,98,1637,297,63,0,2095,14,2021-11-25
NSW,3728,45054,31585,183,131,80681,625,2021-11-25
NSW,3731,45518,31370,186,133,80938,625,2021-11-26
ACT,98,1644,299,62,0,2103,14,2021-11-26
Australia,8597,113570,36402,364,46338,205271,1985,2021-11-26
VIC,1236,65447,4656,0,46205,117544,1313,2021-11-26
SA,694,179,9,46,0,928,4,2021-11-26
TAS,85,141,5,8,0,239,13,2021-11-26
NT,207,62,0,12,0,281,0,2021-11-26
QLD,1540,486,49,41,0,2116,7,2021-11-26
WA,1006,93,14,9,0,1122,9,2021-11-26
QLD,1540,487,49,41,0,2117,7,2021-11-27
Australia,8601,114179,36186,373,47409,206748,1990,2021-11-27
ACT,98,1651,298,63,0,2110,14,2021-11-27
NSW,3735,46003,31129,191,112,81170,625,2021-11-27
NT,207,63,0,12,0,282,0,2021-11-27
WA,1006,93,14,9,0,1122,9,2021-11-27
VIC,1236,65562,4682,0,47297,118777,1318,2021-11-27
TAS,85,141,5,8,0,239,13,2021-11-27
SA,694,179,9,49,0,931,4,2021-11-27
Australia,8610,115903,35967,381,47121,207982,1994,2021-11-28
ACT,98,1656,298,65,0,2117,14,2021-11-28
NSW,3739,46432,30890,196,98,81355,625,2021-11-28
WA,1006,92,14,9,0,1121,9,2021-11-28
VIC,1237,66853,4702,0,47023,119815,1322,2021-11-28
NT,209,63,0,12,0,284,0,2021-11-28
QLD,1542,487,49,42,0,2120,7,2021-11-28
SA,694,179,9,49,0,931,4,2021-11-28
TAS,85,141,5,8,0,239,13,2021-11-28
SA,695,179,9,49,0,932,4,2021-11-29
TAS,85,141,5,8,0,239,13,2021-11-29
VIC,1237,66943,4731,0,47903,120814,1325,2021-11-29
NT,209,67,0,12,0,288,0,2021-11-29
NSW,3749,46950,30535,201,64,81499,625,2021-11-29
ACT,98,1664,299,63,0,2124,14,2021-11-29
Australia,8626,116523,35642,384,47967,209142,1997,2021-11-29
QLD,1547,487,49,42,0,2125,7,2021-11-29
WA,1006,92,14,9,0,1121,9,2021-11-29
WA,1006,92,14,9,0,1121,9,2021-11-30
ACT,98,1670,299,63,0,2130,14,2021-11-30
Australia,8638,118711,34465,389,48036,210239,2006,2021-11-30
NSW,3761,48324,29304,204,81,81674,628,2021-11-30
VIC,1237,67750,4785,0,47955,121727,1331,2021-11-30
NT,209,68,0,12,0,289,0,2021-11-30
QLD,1547,487,49,44,0,2127,7,2021-11-30
TAS,85,141,5,8,0,239,13,2021-11-30
SA,695,179,9,49,0,932,4,2021-11-30
WA,1006,92,14,9,0,1121,9,2021-12-01
SA,696,179,10,49,0,934,4,2021-12-01
NSW,3772,48958,28864,206,116,81916,628,2021-12-01
NT,209,68,0,12,0,289,0,2021-12-01
TAS,85,141,5,8,1,240,13,2021-12-01
ACT,98,1672,301,63,0,2134,14,2021-12-01
Australia,8652,119811,34061,392,48738,211654,2011,2021-12-01
QLD,1549,487,49,45,0,2130,7,2021-12-01
VIC,1237,68214,4818,0,48621,122890,1336,2021-12-01
